Parameter,Meaning
Cell_Barcode,Unique indentifiers of each cell
ImageID / Unique_Frame (dfs with use one or the other),"Unique indentifiers of each Image. Includes: Date, Position, and Frame information"
Date,Unique indentifiers of each Date. In 'MMDD' format
Frame,Frame number as integer
x80thPercentile_norm_OBJ_Median_GFP, 80thPercentile of  GFP pixel intensity normalized by the MEDIAN pixel intensity for distribution (for an individual cell)
x90thPercentile_norm_OBJ_Median_GFP, 90thPercentile of  GFP pixel intensity normalized by the MEDIAN pixel intensity for distribution (for an individual cell)
x95thPercentile_norm_OBJ_Median_GFP, 95thPercentile of GFP pixel intensity normalized by the MEDIAN pixel intensity for distribution (for an individual cell)
x99thPercentile_norm_OBJ_Median_GFP, 99thPercentile of  GFP pixel intensity normalized by the MEDIAN pixel intensity for distribution (for an individual cell)
x90thPercentile_norm_OBJ_Mean_Intensity_GFP, 90thPercentile of  GFP pixel intensity normalized by the MEAN pixel intensity for distribution (for an individual cell)
x95thPercentile_norm_OBJ_Mean_Intensity_GFP, 95thPercentile of  GFP pixel intensity normalized by the MEAN pixel intensity for distribution (for an individual cell)
x99thPercentile_norm_OBJ_Mean_Intensity_GFP, 99thPercentile of  GFP pixel intensity normalized by the MEAN pixel intensity for distribution (for an individual cell)
x90thPercentile_norm_OBJ_Total_Intensity_GFP, 90thPercentile of  GFP pixel intensity normalized by the TOTAL pixel intensity for distribution (for an individual cell)
x95thPercentile_norm_OBJ_Total_Intensity_GFP, 95thPercentile of  GFP pixel intensity normalized by the TOTAL pixel intensity for distribution (for an individual cell)
x99thPercentile_norm_OBJ_Total_Intensity_GFP, 99thPercentile of  GFP pixel intensity normalized by the TOTAL pixel intensity for distribution (for an individual cell)
x90thPercentile_norm_BKGRND_Median_GFP, 90thPercentile of  GFP pixel intensity (for an individual cell) normalized by the BACKGROUND MEDIAN pixel intensity
x95thPercentile_norm_BKGRND_Median_GFP, 95thPercentile of  GFP pixel intensity (for an individual cell) normalized by the BACKGROUND MEDIAN pixel intensity
x99thPercentile_norm_BKGRND_Median_GFP, 99thPercentile of  GFP pixel intensity (for an individual cell) normalized by the BACKGROUND MEDIAN pixel intensity
x90thPercentile_norm_BKGRND_Mean_GFP, 90thPercentile of  GFP pixel intensity (for an individual cell) normalized by the BACKGROUND MEAN pixel intensity
x95thPercentile_norm_BKGRND_Mean_GFP, 95thPercentile of  GFP pixel intensity (for an individual cell) normalized by the BACKGROUND MEAN pixel intensity
x99thPercentile_norm_BKGRND_Mean_GFP, 99thPercentile of  GFP pixel intensity (for an individual cell) normalized by the BACKGROUND MEAN pixel intensity
x90thPercentile_norm_BKGRND_Total_intensity_GFP, 90thPercentile of GFP pixel intensity (for an individual cell) normalized by the BACKGROUND TOTAL pixel intensity
x95thPercentile_norm_BKGRND_Total_intensity_GFP, 95thPercentile of GFP pixel intensity (for an individual cell) normalized by the BACKGROUND TOTAL pixel intensity
x99thPercentile_norm_BKGRND_Total_intensity_GFP, 99thPercentile of GFP pixel intensity (for an individual cell) normalized by the BACKGROUND TOTAL pixel intensity
averageIntensity_GFP_Frame,Average  (MEAN) intensity of GFP across the frame. Includes the cells and non-cell space
averageIntesntiy_GFP_Background,Average  (MEAN) intensity of GFP backgound. Only the non-cell space
averageIntensity_GFP_Object,Average  (MEAN) intensity of GFP all cells. Includes only the cell space
GFP_spread,Number of GFP pixels within the individual cell (bounded by the cell mask)
Progen_bud,Binary of whether this is the first frame that the cell is present (is there an associated cell mask)
x80thPercentile_Diff_background_mKate,80th percentile of the mKate intensity (for an individual cell) minus the background MEDIAN pixel intensity
x90thPercentile_Diff_background_mKate,90th percentile of the mKate intensity (for an individual cell) minus the background MEDIAN pixel intensity
x99thPercentile_Diff_background_mKate,99th percentile of the mKate intensity (for an individual cell) minus the background MEDIAN pixel intensity
x80thPercentile_Diff_background_mKO,80th percentile of the mKO intensity (for an individual cell) minus the background MEDIAN pixel intensity
x90thPercentile_Diff_background_mKO,90th percentile of the mKO intensity (for an individual cell) minus the background MEDIAN pixel intensity
x99thPercentile_Diff_background_mKO,99th percentile of the mKO intensity (for an individual cell) minus the background MEDIAN pixel intensity
averageIntensity_mKO_Frame,Average  (MEAN) intensity of mKO across the frame. Includes the cells and non-cell space
averageIntesntiy_mKO_Background,Average  (MEAN) intensity of mKO backgound. Only the non-cell space
averageIntensity_mKO_Object,Average  (MEAN) intensity of mKO all cells. Includes only the cell space
