	Protein	Percentage_reloc_less
0	APC4	19.841269841269842
1	HSP26	28.37837837837838
2	PNC1	36.15819209039548
3	RRP5	37.690631808278866
4	LOC1	40.93023255813954
5	CRM11	45.45454545454545
6	YOX1	45.604395604395606
7	NOP58	45.67404426559356
8	MCM2	48.07121661721068
9	GLN1	48.708487084870846
10	PRE3	49.82480728801682
11	GLC3	50.79584775086505
12	DDC2d0214r2	50.88161209068011
13	RNR1d0216r1	54.054054054054056
14	EDC2	54.6875
15	MRT4	55.42328042328042
16	NOP13	55.970149253731336
17	RFA2	56.22775800711744
18	YLR363W-A	56.481481481481474
19	CDC14	57.27848101265823
20	RIM1	57.42049469964664
21	NSG1	59.383033419023135
22	YLR126C	59.49367088607595
23	FAA4	60.08583690987125
24	ATG3	60.65573770491803
25	PPH22d0214	60.94339622641509
26	ZPR1	60.97560975609756
27	HTA2	61.34589898394934
29	RFC4	63.32116788321168
30	ARO4	64.47105788423154
31	ECO1	64.70588235294117
32	YML011C	65.80226904376013
33	ATC1	65.89371980676329
34	DDC2d0218r2p100KO	66.3760896637609
35	MSN2d0222r2	66.88741721854305
36	TSA1	67.17557251908397
37	SAC6	67.28778467908903
38	DDC2d0223r1	67.75244299674267
39	LSM3d0217	67.8740157480315
40	CDC48	68.04878048780488
41	DDC2d0220r1	69.61009174311926
42	DSE3	70.36290322580645
43	YDR348C	70.83333333333334
44	XRS2d0210	71.571072319202
45	ITR1	72.82780410742497
46	RMI1	73.1006160164271
47	GSY2	73.35907335907336
48	DDC2d0222r2	73.71007371007371
49	FAA1	73.89705882352942
50	CYK3	73.92739273927393
51	EXO1	74.32432432432432
52	GYL1	75.23277467411546
53	DDC2d0218r2p60KO	75.64102564102564
54	HGH1	75.71080422420796
55	CTR1	75.83333333333333
56	ACE2	76.38453500522466
57	QCR6	76.60550458715596
58	CAF8	77.15582450832072
59	SIP5	77.77777777777779
61	RPC10	78.21122740247384
62	CBP2	78.41409691629956
63	DDC1	79.02222222222223
64	RTR2d0222r1	79.04761904761905
65	TDR3	79.2
66	CTR86	79.36507936507937
67	YLR108C	80.28455284552845
68	RFA1d0213	80.33175355450237
69	LSM2	80.45594262295081
71	BMH1	80.55555555555556
72	AIP1	80.62015503875969
73	SQS1	80.79350766456267
74	GTB1	80.9563066776587
75	RRP17d0217	81.32118451025056
76	DDC2d0217r2	81.8820224719101
77	GYP5	82.1917808219178
78	AAC1	82.42424242424242
79	YBR259W	82.49097472924187
80	SUB2	82.5
81	CAP2	82.72727272727273
82	HAC1	82.95841854124063
83	RAD57	83.37129840546697
84	DDC2d0219r1	83.49928876244665
85	GIC1	83.6734693877551
86	CDC40	83.93113342898135
87	RPL40A	84.08408408408408
88	YDR115W	84.20674802584351
89	APC1	84.28417653390743
90	MTR10	84.31464908148845
91	CAP1	84.33734939759037
92	TSC13	84.48275862068965
93	CDC15	84.688995215311
95	DDC2d0218r2p30KO	85.0654349499615
96	BIR1	85.14563106796118
97	SGT2	85.1985559566787
98	VPH1	85.31289910600255
99	SRS2	85.37549407114624
100	SLX8	85.6
101	DDC2d0218r1	85.6592135697764
102	SLX4	85.71428571428571
103	BUD4	85.77154308617234
104	YGR042W	85.77533577533578
105	IWR1	85.79610538373424
106	TOF2	86.20071684587813
107	RMT2	86.36363636363636
108	DDC2d0216r1	86.52162377288406
109	RBD2	86.68592436974791
110	TRM112	86.71497584541062
111	DDC2d0220r2	87.24137931034483
112	MRS8	87.68656716417911
113	YDR089W	87.76908023483367
114	LSM4	87.94466403162056
115	RPN4	88.06451612903226
116	RAD9	88.12709030100334
117	HSP42	88.18474758324383
118	Contam.	88.34586466165413
119	FPR2	88.35274542429285
120	CDC20	88.5
121	MRC1	88.553750966744
123	RDH54	89.05109489051095
124	LRS4	89.66074313408724
125	RNR4	89.89169675090253
126	CDC24	89.89192625556261
127	RGA1	89.96655518394648
128	AFT1	89.98330550918196
129	SUT1	90.10989010989012
130	HSL7	90.25356576862123
131	XBP1	90.27322404371586
132	YDL156W	90.28985507246377
133	BCH1	90.41095890410958
134	RRB1	90.4293381037567
135	YBR197C	90.60283687943263
136	CSM1	90.6515580736544
137	MOB1	90.66666666666666
138	CGR1	90.66666666666666
139	RNR1d0222r1	90.74733096085409
140	DOT6	90.76305220883533
141	YAR009C	90.81163859111791
142	RAD55	90.84249084249085
143	EXO70	90.9090909090909
144	PRS5	91.00719424460432
145	TOP3	91.19341563786008
146	YMR061C	91.20603015075378
147	YDR132C	91.21338912133892
148	MSN2d0218r2	91.24031007751938
149	DHH1	91.30938586326766
150	SNT2	91.3157894736842
151	DDC2d0217r1	91.42857142857143
152	CHS7	91.52691968225949
153	ECM29	91.53846153846153
154	BMH2	91.58878504672897
155	DDC2d0216r2	91.64149043303121
156	IQG1	91.67803547066849
157	DUS3	91.68704156479217
158	CAT8	91.73228346456693
159	SKG3	91.74311926605505
160	APC5	92.0136518771331
161	IZH4	92.01834862385321
162	IPL1	92.16152019002375
163	YPR174C	92.1619293712317
164	RME1	92.16867469879519
165	SCD6	92.1792618629174
166	ENT1	92.18181818181819
167	FAR1	92.21501390176088
168	AVL9	92.2879177377892
169	RAD54	92.3076923076923
170	KTR3	92.35511713933415
171	XRS2d0215	92.37726098191214
