Protein,Percentage_reloc,Selected_ser,Selected_series,Gene_Standard_Name,Gene_Name,Systematic ORF,Standard Name,MMS_localization_class,HU_localization_class,MMS_HU_merged_class,Percentage_reloc_less,Ho_max,__index_level_0__,,
AAC1,60,95th,95th,AAC1,ADP/ATP Carrier,YMR056C,AAC1,,cyto,cyto,86,37,75,,
ACE2,30,99th,99th,ACE2,Activator of CUP1 Expression,YLR131C,ACE2,cyto,cyto,cyto,72,18,55,,
AFT1,23,99th,99th,AFT1,Activator of Ferrous Transport,YGL071W,AFT1,nucleus,nucleus,nucleus,89,41,123,,s
AGR2,49,95th,95th,,,,,,,,92,,213,,
AIM20,22,99th,99th,AIM20,Altered Inheritance rate of Mitochondria,YIL158W,AIM20,cyto,cyto,cyto,91,20,193,,
AIP1,21,99th,99th,AIP1,Actin Interacting Protein,YMR092C,AIP1,other,,other,76,22,69,,
AME1,29,95th,95th,AME1,Associated with Microtubules and Essential,YBR211C,AME1,nucleus,nucleus,nucleus,93,12,272,,
APC1,23,95th,95th,APC1,Anaphase Promoting Complex subunit,YNL172W,APC1,nucleus,,nucleus,77,27,86,,
APC4,12,99th,99th,APC4,Anaphase Promoting Complex,YDR118W,APC4,nucleus,nucleus,nucleus,19,19,0,,
APC5,28,99th,99th,APC5,Anaphase Promoting Complex,YOR249C,APC5,nucleus,,nucleus,95,17,155,,
APJ1,24,95th,95th,APJ1,Anti-Prion DnaJ,YNL077W,APJ1,nuclear foci,,nuclear foci,93,74,294,,
ARO4,49,95th,95th,ARO4,AROmatic amino acid requiring,YBR249C,ARO4,,nucleus,nucleus,60,18,29,,
ARP4,43,95th,95th,ARP4,Actin-Related Protein,,,,,,95,38,241,,
ASE1,27,99th,99th,ASE1,Anaphase Spindle Elongation,YOR058C,ASE1,,cyto,cyto,94,43,280,,
ATC1,21,99th,99th,ATC1,Aip Three Complex,YDR184C,ATC1,,nucleus,nucleus,59,66,32,,
ATG18,37,99th,99th,ATG18,AuTophaGy related,YFR021W,ATG18,cyto,,cyto,98,44,286,,
ATG29,26,99th,99th,ATG29,AuTophaGy related,YPL166W,ATG29,,cyto foci,cyto foci,93,47,309,,
ATG3,19,99th,99th,,,,,,,,52,,24,,
AVL9,27,95th,95th,AVL9,Apl2 Vps1 Lethal,YLR114C,AVL9,from budneck,from budneck,from budneck,87,18,163,,
BCH1,22,95th,95th,BCH1,Bud7 and Chs6 Homolog,YMR237W,BCH1,cyto foci,,cyto foci,89,18,128,,
BIR1,20,99th,99th,BIR1,Baculoviral IAP Repeat-containing protein,YJR089W,BIR1,other,other,other,79,33,92,,
BMH1,36,99th,99th,BMH1,Brain Modulosignalin Homolog,YER177W,BMH1,nucleus,nucleus,nucleus,84,10,68,,
BTN2,23,99th,99th,BTN2,BaTteN disease,,,,,,93,65,292,,
BUD4,20,99th,99th,,,,,,,,82,,99,,
CAF8,29,99th,99th,,,,,,,,80,,57,,
CAP1,48,99th,99th,CAP1,CAPping,YKL007W,CAP1,from budneck,from budneck,from budneck,73,4,88,,
CAP2,25,95th,95th,CAP2,CAPping,YIL034C,CAP2,,from budneck,from budneck,81,10,78,,
CAT8,22,99th,99th,CAT8,CATabolite repression,YMR280C,CAT8,nucleus,nucleus,nucleus,91,34,153,,
CBP2,34,95th,95th,,,,,,,,82,,60,,
CCC1,23,99th,99th,CCC1,Cross-Complements Ca(2+) phenotype of csg1,YLR220W,CCC1,,cyto; nucleus,cyto; nucleus,89,17,232,,
CDC14,33,95th,95th,CDC14,Cell Division Cycle,,,,,,57,24,19,,
CDC15,22,99th,99th,CDC15,Cell Division Cycle,YAR019C,CDC15,,cyto,cyto,84,30,90,,
CDC20,42,95th,95th,CDC20,Cell Division Cycle,YGL116W,CDC20,nucleus,,nucleus,90,73,116,,
CDC24,22,95th,95th,CDC24,Cell Division Cycle,YAL041W,CDC24,cyto,,cyto,87,14,121,,
CDC27,38,95th,95th,CDC27,Cell Division Cycle,,,,,,95,38,177,,
CDC40,30,99th,99th,,,,,,,,87,33,83,,
